Placa,Código interno,DATE_ENTRY,EVENT_NAME,VALUE,Dirección,Latitud,Longitud,SPEED,Orientación,Batería,Planilla
GB00141,,31/12/2019 23:21:08,Cierre de Geobolt,"Calle 20 76, ConcepciÃ³n, 24903 ConcepciÃ³n, Camp., Mexico-Calle 20 76, ConcepciÃ³n, 24903 ConcepciÃ³n, Camp., Mexico","Calle 20 76, ConcepciÃ³n, 24903 ConcepciÃ³n, Camp., Mexico",-90.05011,20.3725,0.0,355.0,83 %,
GB00141,,31/12/2019 23:21:08,Bolt Inserted -  Geobolt,"Calle 20 76, ConcepciÃ³n, 24903 ConcepciÃ³n, Camp., Mexico-Calle 20 76, ConcepciÃ³n, 24903 ConcepciÃ³n, Camp., Mexico","Calle 20 76, ConcepciÃ³n, 24903 ConcepciÃ³n, Camp., Mexico",-90.05011,20.3725,0.0,355.0,83 %,
GB00141,,31/12/2019 23:21:01,Bolt Removed - Geobolt,"Calle 20 76, ConcepciÃ³n, 24903 ConcepciÃ³n, Camp., Mexico-Calle 20 76, ConcepciÃ³n, 24903 ConcepciÃ³n, Camp., Mexico","Calle 20 76, ConcepciÃ³n, 24903 ConcepciÃ³n, Camp., Mexico",-90.0501,20.37251,0.0,355.0,83 %,
GB00141,,31/12/2019 23:21:01,Apertura Geobolt,"Calle 20 76, ConcepciÃ³n, 24903 ConcepciÃ³n, Camp., Mexico-Calle 20 76, ConcepciÃ³n, 24903 ConcepciÃ³n, Camp., Mexico","Calle 20 76, ConcepciÃ³n, 24903 ConcepciÃ³n, Camp., Mexico",-90.0501,20.37251,0.0,355.0,83 %,
GB00088,,31/01/2020 20:53:57,Zone leave,3604-KM26NLD,"58MQ+4H El Huisachal, Tamps., Mexico",-99.66101,27.18278,87.0,204.0,70 %,
GB00081,,31/01/2020 20:47:14,Zone leave,3056-Work,COSTA RICA,-84.1871,9.9991,0.0,0.0,72 %,
GB00079,,31/01/2020 20:46:56,Zone leave,3604-KM26NLD,"794G+2P Guerrero III, Nuevo Laredo, Tamps., Mexico",-99.62313,27.25501,61.0,205.0,66 %,
GB00088,,31/01/2020 20:43:21,Zone entry,3604-KM26NLD,"798J+6X Guerrero III, Nuevo Laredo, Tamps., Mexico",-99.61758,27.26551,0.0,208.0,70 %,
GB00079,,31/01/2020 20:36:06,Zone entry,3604-KM26NLD,"79WX+28 Guerrero III, Nuevo Laredo, Tamps., Mexico",-99.60175,27.2951,55.0,205.0,67 %,
GB00071,,31/01/2020 17:51:21,Zone leave,3590-ViatPro Main Office,"1611 Saldana Ave, Laredo, TX 78041, USA",-99.46853,27.55792,61.0,24.0,38 %,
GB00079,,31/01/2020 17:00:20,Zone leave,3606-NLDPUENTE3,"H94W+WC Nuevo Laredo, Tamaulipas, Mexico",-99.60392,27.55733,0.0,146.0,69 %,
GB00088,,31/01/2020 17:00:09,Zone leave,3606-NLDPUENTE3,"H94W+XF Nuevo Laredo, Tamaulipas, Mexico",-99.60385,27.55738,0.0,147.0,73 %,
GB00088,,31/01/2020 16:49:37,Zone entry,3606-NLDPUENTE3,"HFW3+66 Casa Blanca, Tamps., Mexico",-99.54698,27.5955,3.0,147.0,73 %,
GB00079,,31/01/2020 16:44:36,Zone entry,3606-NLDPUENTE3,"HFW4+8W Nuevo Laredo, Tamaulipas, Mexico",-99.5427,27.59579,0.0,289.0,69 %,
GB00096,,31/01/2020 16:34:28,Tiempo Geobolt 12 horas,12-80%,Without GPS,-84.47318,33.86631,,0.0, %,
GB00096,,31/01/2020 16:34:20,Tiempo Geobolt 12 horas,12-16%,Without GPS,-84.47318,33.86631,,0.0, %,
GB0040,,31/01/2020 15:20:33,Bolt Inserted -  Geobolt,"C4G7+XJ Huntersville, NC, USA-C4G7+XJ Huntersville, NC, USA","C4G7+XJ Huntersville, NC, USA",-80.88588,35.42739,0.0,0.0,5 %,
GB00096,,31/01/2020 14:58:12,Zone entry,3056-Work,"VG8G+GJ Vinings, GA, USA",-84.47339,33.86635,0.0,0.0,83 %,
GB00096,,31/01/2020 14:41:52,Zone leave,3056-,"VG8H+F3 Vinings, GA, USA",-84.47231,33.86624,0.0,0.0,83 %,
GB00079,,31/01/2020 13:51:05,Zone leave,3608-ROYALEXP,"12111 Doc Adams Dr, Laredo, TX 78045, USA",-99.50509,27.62451,0.0,170.0,72 %,
GB00088,,31/01/2020 13:49:42,Zone leave,3608-ROYALEXP,"12111 Doc Adams Dr, Laredo, TX 78045, USA",-99.50514,27.62452,0.0,204.0,76 %,
GB00096,,31/01/2020 13:36:49,Zone entry,3056-Work,"VG8G+HQ Vinings, GA, USA",-84.47306,33.86643,0.0,0.0,83 %,
GB00096,,31/01/2020 13:20:30,Zone leave,3056-,"2839 Overlook Pkwy, Atlanta, GA 30339, USA",-84.47214,33.86667,0.0,0.0,83 %,
GB00096,,31/01/2020 12:15:26,Zone entry,3056-Work,"VG8G+GC Vinings, GA, USA",-84.47394,33.86629,0.0,0.0,85 %,
GB00096,,31/01/2020 11:59:12,Zone leave,3056-,"2839 Paces Ferry Rd SE, Atlanta, GA 30339, USA",-84.4724,33.86674,0.0,0.0,83 %,
GB00096,,31/01/2020 11:42:52,Zone entry,3056-Work,"VG8G+FV Vinings, GA, USA",-84.47279,33.86624,0.0,0.0,84 %,
GB00082,,31/01/2020 11:30:59,Zone entry,3056-Work,"VG8G+HM Vinings, GA, USA",-84.47337,33.86642,0.0,0.0,0 %,
GB00088,,31/01/2020 11:17:41,Bolt Removed - Geobolt,"12125 Jef Dr, Laredo, TX 78045, USA-12125 Jef Dr, Laredo, TX 78045, USA","12125 Jef Dr, Laredo, TX 78045, USA",-99.50865,27.62492,3.0,221.0,63 %,
GB00088,,31/01/2020 11:17:41,Apertura Geobolt,"12125 Jef Dr, Laredo, TX 78045, USA-12125 Jef Dr, Laredo, TX 78045, USA","12125 Jef Dr, Laredo, TX 78045, USA",-99.50865,27.62492,3.0,221.0,63 %,
GB00101,,31/01/2020 11:15:42,Zone leave,3056-Work,"7026 W Hanna Ave, Indianapolis, IN 46241, USA",-86.28003,39.71512,0.0,105.0,65 %,
GB00088,,31/01/2020 11:15:21,Zone entry,3608-ROYALEXP,"12125 Jef Dr, Laredo, TX 78045, USA",-99.50846,27.62502,0.0,261.0,64 %,
GB00088,,31/01/2020 11:04:49,Zone leave,3606-NLDPUENTE3,"5314 Mines Rd, Laredo, TX 78045, USA",-99.51654,27.6015,3.0,313.0,63 %,
GB00082,,31/01/2020 10:57:36,Zone leave,3056-Work,"VG8H+94 Vinings, GA, USA",-84.47217,33.86598,0.0,0.0,3 %,
GB00088,,31/01/2020 10:43:30,Zone entry,3606-NLDPUENTE3,"HFR2+X7 Casa Blanca, Tamps., Mexico",-99.54932,27.59239,0.0,71.0,64 %,
GB00082,,31/01/2020 10:11:24,Zone entry,3056-Work,"VG8G+GP Vinings, GA, USA",-84.47318,33.86631,0.0,0.0,0 %,
GB00088,,31/01/2020 10:01:01,Zone leave,3605-JASSONLD,"FC4M+XR Nuevo Laredo, Tamaulipas, Mexico",-99.5654,27.45749,56.0,356.0,66 %,
GB00071,,31/01/2020 09:23:40,Zone entry,3590-ViatPro Main Office,"218 W Village Blvd, Laredo, TX 78041, USA",-99.49967,27.56483,0.0,209.0,44 %,
GB00071,,31/01/2020 08:51:13,Zone leave,3589-TEST HOME,"JG7X+93 Laredo, TX, USA",-99.45229,27.61349,13.0,203.0,45 %,
GB00096,,31/01/2020 08:44:17,Zone entry,3056-Work,"VG8G+FR Vinings, GA, USA",-84.47289,33.86624,0.0,0.0,85 %,
GB00096,,31/01/2020 08:11:40,Zone leave,3056-,"VG8H+H9 Vinings, GA, USA",-84.4716,33.8664,0.0,0.0,85 %,
GB00096,,31/01/2020 06:33:56,Zone leave,3056-,"3537 Preserve Dr SE, Atlanta, GA 30339, USA",-84.46942,33.86638,0.0,0.0,86 %,
GB00096,,31/01/2020 06:01:24,Zone leave,3056-,"3537 Preserve Dr SE, Atlanta, GA 30339, USA",-84.46942,33.86638,0.0,0.0,87 %,
GB00083,,31/01/2020 05:54:55,Zone leave,3056-Work,COSTA RICA,-84.1869,10.00006,0.0,123.0,76 %,
GB00096,,31/01/2020 05:45:06,Zone entry,3056-Work,"VG8G+CW Vinings, GA, USA",-84.47265,33.86602,0.0,0.0,88 %,
GB00096,,31/01/2020 03:02:25,Zone entry,3056-Work,"VG8G+CW Vinings, GA, USA",-84.47265,33.86602,0.0,0.0,90 %,
GB00074,,31/01/2020 02:30:52,Zone leave,3604-KM26NLD,"48R8+3F El Huisachal, Tamps., Mexico",-99.68383,27.14014,87.0,205.0,78 %,
GB00078,,31/01/2020 02:28:26,Zone leave,3604-KM26NLD,"58CJ+3V El Huisachal, Tamps., Mexico",-99.66778,27.17015,98.0,205.0,82 %,
GB00070,,31/01/2020 02:28:09,Zone leave,3604-KM26NLD,"58FM+FP El Huisachal, Tamps., Mexico",-99.66568,27.17369,93.0,205.0,84 %,
GB00065,,31/01/2020 02:26:57,Zone leave,3604-KM26NLD,"58QR+CR El Huisachal, Tamps., Mexico",-99.65793,27.18856,87.0,205.0,84 %,
GB00087,,31/01/2020 02:25:33,Zone leave,3604-,"6942+29 El Huisachal, Tamps., Mexico",-99.64905,27.2051,87.0,205.0,78 %,
GB00074,,31/01/2020 02:19:56,Zone entry,3604-KM26NLD,"797J+VV Guerrero III, Nuevo Laredo, Tamps., Mexico",-99.61787,27.2647,74.0,206.0,78 %,
GB00078,,31/01/2020 02:17:44,Zone entry,3604-KM26NLD,"79JR+85 Guerrero III, Nuevo Laredo, Tamps., Mexico",-99.60952,27.28076,18.0,189.0,81 %,
GB00070,,31/01/2020 02:17:25,Zone entry,3604-KM26NLD,"79JR+P5 Guerrero III, Nuevo Laredo, Tamps., Mexico",-99.60951,27.28182,29.0,177.0,84 %,
GB00065,,31/01/2020 02:16:05,Zone entry,3604-KM26NLD,"79PV+22 Guerrero III, Nuevo Laredo, Tamps., Mexico",-99.60747,27.28501,10.0,210.0,84 %,
GB00087,,31/01/2020 02:14:54,Zone entry,3604-KM26NLD,"79PV+88 Guerrero III, Nuevo Laredo, Tamps., Mexico",-99.6067,27.28581,0.0,212.0,78 %,
GB00096,,31/01/2020 01:57:18,Zone leave,3056-,"VG8H+95 Vinings, GA, USA",-84.47212,33.86594,0.0,0.0,90 %,
GB00096,,31/01/2020 00:19:44,Zone entry,3056-Work,"2858 Paces Lookout Ln SE, Atlanta, GA 30339, USA",-84.47356,33.86624,0.0,0.0,93 %,
GB00096,,31/01/2020 00:03:27,Zone leave,3056-,"2839 Overlook Pkwy, Atlanta, GA 30339, USA",-84.47224,33.86695,0.0,0.0,93 %,
GB00061,,30/12/2019 17:30:43,Bolt Removed - Geobolt,BARRANQUILLA(Glorieta)LAS FLORES-BARRANQUILLA(Glorieta)LAS FLORES,BARRANQUILLA(Glorieta)LAS FLORES,-74.83101,11.01634,0.0,0.0,43 %,
GB00061,,30/12/2019 17:30:43,Apertura Geobolt,BARRANQUILLA(Glorieta)LAS FLORES-BARRANQUILLA(Glorieta)LAS FLORES,BARRANQUILLA(Glorieta)LAS FLORES,-74.83101,11.01634,0.0,0.0,43 %,
GB00061,,30/12/2019 17:30:22,Bolt Inserted -  Geobolt,BARRANQUILLA(Glorieta)LAS FLORES-BARRANQUILLA(Glorieta)LAS FLORES,BARRANQUILLA(Glorieta)LAS FLORES,-74.83101,11.01634,0.0,0.0,42 %,
GB00061,,30/12/2019 17:30:22,Cierre de Geobolt,BARRANQUILLA(Glorieta)LAS FLORES-BARRANQUILLA(Glorieta)LAS FLORES,BARRANQUILLA(Glorieta)LAS FLORES,-74.83101,11.01634,0.0,0.0,42 %,
GB00061,,30/12/2019 12:00:53,Apertura Geobolt,BARRANQUILLA(Glorieta)LAS FLORES-BARRANQUILLA(Glorieta)LAS FLORES,BARRANQUILLA(Glorieta)LAS FLORES,-74.83097,11.01645,0.0,75.0,27 %,
GB00061,,30/12/2019 12:00:53,Bolt Removed - Geobolt,BARRANQUILLA(Glorieta)LAS FLORES-BARRANQUILLA(Glorieta)LAS FLORES,BARRANQUILLA(Glorieta)LAS FLORES,-74.83097,11.01645,0.0,75.0,27 %,
GB00061,,30/12/2019 11:26:54,entrada zona,3494-Zonanorte,BARRANQUILLA(Glorieta)LAS FLORES,-74.83076,11.01624,0.0,114.0,27 %,
GB00061,,30/12/2019 11:26:54,Salida zona,3495-Zona Metropolitana,BARRANQUILLA(Glorieta)LAS FLORES,-74.83076,11.01624,0.0,114.0,27 %,
GB00061,,30/12/2019 11:23:26,Cierre de Geobolt,Without GPS-Without GPS,Without GPS,-74.80427,11.00893,0.0,0.0,26 %,
GB00061,,30/12/2019 11:23:26,Bolt Inserted -  Geobolt,Without GPS-Without GPS,Without GPS,-74.80427,11.00893,0.0,0.0,26 %,
GB00061,,30/12/2019 10:39:23,Bolt Removed - Geobolt,Without GPS-Without GPS,Without GPS,-74.80427,11.00893,0.0,0.0,35 %,
GB00061,,30/12/2019 10:39:23,Apertura Geobolt,Without GPS-Without GPS,Without GPS,-74.80427,11.00893,0.0,0.0,35 %,
GB00061,,30/12/2019 10:39:13,Bolt Inserted -  Geobolt,Without GPS-Without GPS,Without GPS,-74.80427,11.00893,0.0,0.0,35 %,
GB00061,,30/12/2019 10:39:13,Cierre de Geobolt,Without GPS-Without GPS,Without GPS,-74.80427,11.00893,0.0,0.0,35 %,
GB00061,,30/12/2019 10:33:24,Apertura Geobolt,Without GPS-Without GPS,Without GPS,-74.80427,11.00893,0.0,0.0,31 %,
GB00061,,30/12/2019 10:33:24,Bolt Removed - Geobolt,Without GPS-Without GPS,Without GPS,-74.80427,11.00893,0.0,0.0,31 %,
GB00061,,30/12/2019 10:33:24,Bolt Inserted -  Geobolt,Without GPS-Without GPS,Without GPS,-74.80427,11.00893,0.0,0.0,32 %,
GB00061,,30/12/2019 10:33:24,Cierre de Geobolt,Without GPS-Without GPS,Without GPS,-74.80427,11.00893,0.0,0.0,32 %,
GB00096,,30/01/2020 23:47:10,Zone entry,3056-Work,"VG8G+CR Vinings, GA, USA",-84.47291,33.86612,0.0,0.0,92 %,
GB00096,,30/01/2020 22:41:59,Zone leave,3056-,"3537 Preserve Dr SE, Atlanta, GA 30339, USA",-84.46943,33.8665,0.0,0.0,96 %,
GB00087,,30/01/2020 22:30:33,Zone leave,3606-,"H94W+P7 Nuevo Laredo, Tamaulipas, Mexico",-99.60426,27.55686,2.0,26.0,80 %,
GB00086,,30/01/2020 22:23:27,Zone leave,3607-USLDOPTE3,"H95W+24 Nuevo Laredo, Tamaulipas, Mexico",-99.60474,27.55761,45.0,230.0,84 %,
GB00070,,30/01/2020 22:21:19,Zone leave,3607-USLDOPTE3,"Lib. de Nuevo Laredo II 310, La Cruz, Tamps., Mexico",-99.58874,27.56819,60.0,233.0,87 %,
GB00087,,30/01/2020 22:17:08,Zone entry,3606-NLDPUENTE3,"HFR2+X2 Casa Blanca, Tamps., Mexico",-99.54994,27.59239,58.0,246.0,80 %,
GB00086,,30/01/2020 22:12:37,Zone entry,3607-USLDOPTE3,"HFX8+HF Laredo, TX, USA",-99.53377,27.59898,35.0,247.0,82 %,
GB00070,,30/01/2020 22:10:33,Zone entry,3607-USLDOPTE3,"18 Bob Bullock Loop, Laredo, TX 78045, USA",-99.52748,27.6007,29.0,284.0,87 %,
GB00096,,30/01/2020 21:36:56,Zone entry,3056-Work,"VG8G+GJ Vinings, GA, USA",-84.47338,33.86625,0.0,0.0,84 %,
GB00096,,30/01/2020 21:04:22,Zone entry,3056-Work,"VG8G+HR Vinings, GA, USA",-84.47299,33.86638,0.0,0.0,70 %,
GB00071,,30/01/2020 20:25:43,Zone entry,3589-TEST HOME,"317 Collado Dr, Laredo, TX 78045, USA",-99.45357,27.61492,0.0,164.0,52 %,
GB00071,,30/01/2020 20:14:55,Zone leave,3590-ViatPro Main Office,"9151 San Mateo Dr, Laredo, TX 78045, USA",-99.49609,27.60122,90.0,8.0,53 %,
GB00087,,30/01/2020 19:04:41,Zone leave,3608-,"12111 Doc Adams Dr, Laredo, TX 78045, USA",-99.50521,27.62534,0.0,336.0,80 %,
GB00065,,30/01/2020 19:00:52,Zone leave,3608-ROYALEXP,"12111 Doc Adams Dr, Laredo, TX 78045, USA",-99.50494,27.6248,10.0,336.0,88 %,
GB00086,,30/01/2020 18:59:17,Zone leave,3608-ROYALEXP,"12109 Doc Adams Dr, Laredo, TX 78045, USA",-99.50468,27.6243,0.0,156.0,86 %,
GB00070,,30/01/2020 18:57:28,Zone leave,3608-ROYALEXP,"12109 Doc Adams Dr, Laredo, TX 78045, USA",-99.50467,27.62427,0.0,155.0,90 %,
GB00078,,30/01/2020 18:57:17,Zone leave,3608-ROYALEXP,"12109 Doc Adams Dr, Laredo, TX 78045, USA",-99.50468,27.62427,0.0,162.0,85 %,
GB00074,,30/01/2020 18:57:06,Zone leave,3608-ROYALEXP,"12109 Doc Adams Dr, Laredo, TX 78045, USA",-99.50467,27.62425,0.0,160.0,81 %,
GB00071,,30/01/2020 17:11:24,Zone entry,3590-ViatPro Main Office,"218 W Village Blvd, Laredo, TX 78041, USA",-99.49955,27.5649,0.0,200.0,53 %,
GB00071,,30/01/2020 16:17:21,Zone leave,3589-TEST HOME,"306 Altozano Dr, Laredo, TX 78045, USA",-99.45245,27.61378,34.0,129.0,54 %,
GB00101,,30/01/2020 16:08:00,Tiempo Geobolt 12 horas,12-,Without GPS,-84.47355,33.86628,,0.0, %,
GB00101,,30/01/2020 16:07:44,Tiempo Geobolt 12 horas,12-,Without GPS,-84.47355,33.86628,,0.0, %,
GB00079,,30/01/2020 15:59:27,Zone entry,3608-ROYALEXP,ESTADOS UNIDOS,-99.50825,27.62517,0.0,219.0,67 %,
GB00079,,30/01/2020 15:59:25,Bolt Removed - Geobolt,ESTADOS UNIDOS-ESTADOS UNIDOS,ESTADOS UNIDOS,-99.50824,27.62517,0.0,238.0,67 %,
GB00079,,30/01/2020 15:59:25,Apertura Geobolt,ESTADOS UNIDOS-ESTADOS UNIDOS,ESTADOS UNIDOS,-99.50824,27.62517,0.0,238.0,67 %,
GB00079,,30/01/2020 15:48:38,Zone leave,3607-USLDOPTE3,ESTADOS UNIDOS,-99.51764,27.61509,50.0,41.0,67 %,
GB00079,,30/01/2020 15:37:50,Zone entry,3607-USLDOPTE3,ESTADOS UNIDOS,-99.52779,27.59746,0.0,0.0,67 %,
GB00071,,30/01/2020 15:34:09,Zone entry,3589-TEST HOME,"317 Collado Dr, Laredo, TX 78045, USA",-99.45354,27.61494,0.0,94.0,55 %,
GB00071,,30/01/2020 15:23:20,Zone leave,3590-ViatPro Main Office,"HF8W+VX Laredo, TX, USA",-99.50254,27.5672,68.0,2.0,55 %,
GB00101,,30/01/2020 15:20:48,Zone entry,3056-Work,"2858 Paces Lookout Ln SE, Atlanta, GA 30339, USA",-84.47363,33.86632,0.0,0.0,70 %,
GB00079,,30/01/2020 15:05:25,Zone entry,3607-USLDOPTE3,ESTADOS UNIDOS,-99.53602,27.59755,5.0,65.0,67 %,
GB00079,,30/01/2020 14:54:37,Zone leave,3607-USLDOPTE3,ESTADOS UNIDOS,-99.53801,27.5968,0.0,61.0,67 %,
GB00101,,30/01/2020 14:49:39,Zone leave,3056-Work,ESTADOS UNIDOS,-84.47209,33.86633,0.0,0.0,70 %,
GB00086,,30/01/2020 14:47:39,Apertura Geobolt,ESTADOS UNIDOS-ESTADOS UNIDOS,ESTADOS UNIDOS,-99.50827,27.62501,0.0,192.0,65 %,
GB00086,,30/01/2020 14:47:39,Bolt Removed - Geobolt,ESTADOS UNIDOS-ESTADOS UNIDOS,ESTADOS UNIDOS,-99.50827,27.62501,0.0,192.0,65 %,
GB00086,,30/01/2020 14:47:39,Zone entry,3608-ROYALEXP,ESTADOS UNIDOS,-99.50827,27.62501,0.0,192.0,65 %,
GB00086,,30/01/2020 14:41:33,Zone leave,3607-USLDOPTE3,ESTADOS UNIDOS,-99.51089,27.61928,23.0,66.0,65 %,
GB00086,,30/01/2020 14:20:00,Zone entry,3607-USLDOPTE3,ESTADOS UNIDOS,-99.52852,27.59743,0.0,82.0,67 %,
GB00101,,30/01/2020 14:18:33,Zone entry,3056-Work,ESTADOS UNIDOS,-84.47478,33.86684,0.0,0.0,70 %,
GB00086,,30/01/2020 13:36:43,Zone leave,3605-JASSONLD,MEJICO,-99.56252,27.51265,68.0,7.0,67 %,
GB00070,,30/01/2020 12:28:42,Bolt Removed - Geobolt,ESTADOS UNIDOS-ESTADOS UNIDOS,ESTADOS UNIDOS,-99.50875,27.6254,2.0,71.0,70 %,
GB00070,,30/01/2020 12:28:42,Apertura Geobolt,ESTADOS UNIDOS-ESTADOS UNIDOS,ESTADOS UNIDOS,-99.50875,27.6254,2.0,71.0,70 %,
GB00070,,30/01/2020 12:26:22,Bolt Inserted -  Geobolt,"12121 Jef Dr, Laredo, TX 78045, USA-12121 Jef Dr, Laredo, TX 78045, USA","12121 Jef Dr, Laredo, TX 78045, USA",-99.50927,27.62401,0.0,275.0,70 %,
GB00070,,30/01/2020 12:26:22,Cierre de Geobolt,"12121 Jef Dr, Laredo, TX 78045, USA-12121 Jef Dr, Laredo, TX 78045, USA","12121 Jef Dr, Laredo, TX 78045, USA",-99.50927,27.62401,0.0,275.0,70 %,
GB00070,,30/01/2020 12:26:05,Apertura Geobolt,ESTADOS UNIDOS-ESTADOS UNIDOS,ESTADOS UNIDOS,-99.50917,27.62385,2.0,274.0,71 %,
GB00070,,30/01/2020 12:26:05,Bolt Removed - Geobolt,ESTADOS UNIDOS-ESTADOS UNIDOS,ESTADOS UNIDOS,-99.50917,27.62385,2.0,274.0,71 %,
GB00079,,30/01/2020 12:12:07,Zone leave,3605-JASSONLD,"Carr Aeropuerto 4016, 150 Aniversario, 88283 Nuevo Laredo, Tamps., Mexico",-99.56625,27.47046,45.0,357.0,69 %,
GB00101,,30/01/2020 11:58:28,Zone leave,3056-Work,ESTADOS UNIDOS,-84.47192,33.86744,0.0,0.0,71 %,
GB00101,,30/01/2020 11:11:41,Zone entry,3056-Work,ESTADOS UNIDOS,-84.47301,33.8663,0.0,0.0,71 %,
GB00078,,30/01/2020 09:46:32,Apertura Geobolt,ESTADOS UNIDOS-ESTADOS UNIDOS,ESTADOS UNIDOS,-99.50888,27.62529,0.0,214.0,77 %,
GB00078,,30/01/2020 09:46:32,Bolt Removed - Geobolt,ESTADOS UNIDOS-ESTADOS UNIDOS,ESTADOS UNIDOS,-99.50888,27.62529,0.0,214.0,77 %,
GB00088,,30/01/2020 08:51:06,Zone entry,3605-JASSONLD,"FC3P+65 Nuevo Laredo, Tamaulipas, Mexico",-99.56452,27.45301,0.0,150.0,81 %,
GB00101,,30/01/2020 08:35:59,Zone leave,3056-Work,ESTADOS UNIDOS,-84.47268,33.86626,0.0,0.0,73 %,
GB00101,,30/01/2020 08:20:24,Zone entry,3056-Work,ESTADOS UNIDOS,-84.47361,33.86631,0.0,0.0,73 %,
GB00101,,30/01/2020 06:46:53,Zone leave,3056-Work,"VG8H+JC Vinings, GA, USA",-84.47149,33.86651,0.0,0.0,73 %,
GB00075,,30/01/2020 05:10:57,Zone entry,3602-TECHNOCAST,"H4XC+8G Santa MarÃ­a, Coah., Mexico",-100.87875,25.59827,0.0,0.0,83 %,
GB00088,,30/01/2020 04:58:32,Zone leave,3602-TECHNOCAST,"H4HG+W5 Santa MarÃ­a, Coah., Mexico",-100.87459,25.57984,0.0,136.0,81 %,
GB00101,,30/01/2020 04:42:17,Zone entry,3056-Work,"VG8G+GM Vinings, GA, USA",-84.47333,33.86633,0.0,0.0,73 %,
GB00075,,30/01/2020 04:39:06,Zone leave,3602-TECHNOCAST,"J438+7X Santa MarÃ­a, Coah., Mexico",-100.88251,25.60319,0.0,0.0,83 %,
GB00101,,30/01/2020 03:55:32,Zone leave,3056-Work,ESTADOS UNIDOS,-84.47178,33.86659,0.0,0.0,75 %,
GB00101,,30/01/2020 02:53:12,Zone entry,3056-Work,"VG8G+CW Vinings, GA, USA",-84.47271,33.86612,0.0,0.0,76 %,
GB00101,,30/01/2020 02:06:32,Zone leave,3056-Work,ESTADOS UNIDOS,-84.47079,33.86615,0.0,0.0,76 %,
GB00088,,30/01/2020 01:48:34,Cierre de Geobolt,MEJICO-MEJICO,MEJICO,-100.87841,25.59893,0.0,222.0,82 %,
GB00088,,30/01/2020 01:48:34,Bolt Inserted -  Geobolt,MEJICO-MEJICO,MEJICO,-100.87841,25.59893,0.0,222.0,82 %,
GB00088,,30/01/2020 01:48:11,Bolt Removed - Geobolt,MEJICO-MEJICO,MEJICO,-100.87839,25.59888,0.0,30.0,82 %,
GB00088,,30/01/2020 01:48:11,Apertura Geobolt,MEJICO-MEJICO,MEJICO,-100.87839,25.59888,0.0,30.0,82 %,
GB00088,,30/01/2020 01:48:02,Bolt Inserted -  Geobolt,MEJICO-MEJICO,MEJICO,-100.87839,25.59886,0.0,47.0,82 %,
GB00088,,30/01/2020 01:48:02,Cierre de Geobolt,MEJICO-MEJICO,MEJICO,-100.87839,25.59886,0.0,47.0,82 %,
GB00101,,30/01/2020 01:35:24,Zone entry,3056-Work,"VG8G+GM Vinings, GA, USA",-84.47328,33.86636,0.0,0.0,76 %,
GB00101,,30/01/2020 00:33:05,Zone leave,3056-Work,ESTADOS UNIDOS,-84.47257,33.86658,0.0,0.0,76 %,
GB00075,,30/01/2020 00:23:42,Zone entry,3602-TECHNOCAST,MEJICO,-100.87799,25.59862,0.0,162.0,85 %,
GB00101,,30/01/2020 00:17:31,Zone entry,3056-Work,ESTADOS UNIDOS,-84.47319,33.86635,0.0,0.0,76 %,
GB00075,,30/01/2020 00:13:03,Zone leave,3602-TECHNOCAST,MEJICO,-100.87716,25.59747,11.0,137.0,86 %,
GB00101,,30/01/2020 00:01:56,Zone leave,3056-Work,"2839 Overlook Pkwy, Atlanta, GA 30339, USA",-84.47226,33.86693,0.0,0.0,77 %,
GB00101,,29/01/2020 22:59:39,Zone entry,3056-Work,ESTADOS UNIDOS,-84.47322,33.86623,0.0,0.0,77 %,
GB00086,,29/01/2020 22:23:51,Zone entry,3605-JASSONLD,MEJICO,-99.56496,27.45336,0.0,76.0,77 %,
GB00078,,29/01/2020 22:14:14,Bolt Inserted -  Geobolt,ESTADOS UNIDOS-ESTADOS UNIDOS,ESTADOS UNIDOS,-99.50838,27.62455,0.0,229.0,77 %,
GB00078,,29/01/2020 22:14:14,Cierre de Geobolt,ESTADOS UNIDOS-ESTADOS UNIDOS,ESTADOS UNIDOS,-99.50838,27.62455,0.0,229.0,77 %,
GB00078,,29/01/2020 22:13:47,Bolt Removed - Geobolt,ESTADOS UNIDOS-ESTADOS UNIDOS,ESTADOS UNIDOS,-99.50839,27.62458,0.0,216.0,76 %,
GB00078,,29/01/2020 22:13:47,Apertura Geobolt,ESTADOS UNIDOS-ESTADOS UNIDOS,ESTADOS UNIDOS,-99.50839,27.62458,0.0,216.0,76 %,
GB00101,,29/01/2020 22:13:00,Zone leave,3056-Work,ESTADOS UNIDOS,-84.47229,33.8667,0.0,0.0,77 %,
GB00101,,29/01/2020 21:57:26,Zone entry,3056-Work,ESTADOS UNIDOS,-84.47343,33.86637,0.0,0.0,77 %,
GB00101,,29/01/2020 21:10:44,Zone leave,3056-Work,ESTADOS UNIDOS,-84.47228,33.86656,0.0,0.0,78 %,
GB00101,,29/01/2020 20:55:08,Zone entry,3056-Work,ESTADOS UNIDOS,-84.4733,33.86634,0.0,0.0,78 %,
GB00101,,29/01/2020 20:39:35,Zone leave,3056-Work,ESTADOS UNIDOS,-84.47244,33.86618,0.0,0.0,78 %,
GB00101,,29/01/2020 19:37:17,Zone entry,3056-Work,ESTADOS UNIDOS,-84.47335,33.8663,0.0,0.0,78 %,
